epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,748.156,0.9675,0.6595,1.07108,0.83597,0.77557,0.82997,0.44968,1.58636,0.92931,1.51521,0.00067003,0.00067003,0.00067003
67,759.257,0.9341,0.64418,1.05062,0.88203,0.75324,0.82605,0.43078,1.575,0.93343,1.52312,0.000668507,0.000668507,0.000668507
68,770.422,0.9531,0.63978,1.05539,0.83121,0.79819,0.84291,0.44391,1.59086,0.93865,1.54212,0.000666984,0.000666984,0.000666984
69,781.784,0.9506,0.64018,1.05416,0.87487,0.74803,0.82309,0.44434,1.59684,0.94662,1.56698,0.000665462,0.000665462,0.000665462
70,793.092,0.93878,0.63364,1.04473,0.83311,0.75599,0.81517,0.43058,1.61951,0.99258,1.54967,0.000663939,0.000663939,0.000663939
71,804.195,0.93991,0.6313,1.05118,0.87266,0.7541,0.84154,0.45429,1.57971,0.89743,1.53486,0.000662417,0.000662417,0.000662417
72,816.178,0.94081,0.63032,1.05569,0.83319,0.80946,0.84559,0.4477,1.58062,0.89085,1.5576,0.000660894,0.000660894,0.000660894
73,827.521,0.92404,0.62553,1.04256,0.85144,0.78449,0.83461,0.43643,1.59897,0.919,1.57323,0.000659371,0.000659371,0.000659371
74,838.582,0.91919,0.62037,1.04577,0.85218,0.78146,0.83998,0.45244,1.5688,0.90862,1.53279,0.000657849,0.000657849,0.000657849
75,850.057,0.92152,0.61366,1.03644,0.87242,0.78508,0.84475,0.45078,1.602,0.93136,1.556,0.000656326,0.000656326,0.000656326
76,862.036,0.89947,0.60216,1.03073,0.91673,0.7484,0.84919,0.45766,1.58032,0.88893,1.51264,0.000654804,0.000654804,0.000654804
77,873.487,0.91967,0.61629,1.04143,0.84299,0.77146,0.8223,0.42533,1.62568,0.96152,1.58394,0.000653281,0.000653281,0.000653281
78,884.735,0.91385,0.62355,1.03864,0.85771,0.7783,0.84795,0.46059,1.54693,0.90866,1.5016,0.000651758,0.000651758,0.000651758
79,896.134,0.90495,0.61149,1.03662,0.832,0.77321,0.83175,0.4499,1.58216,0.9481,1.53029,0.000650236,0.000650236,0.000650236
80,907.678,0.91765,0.61987,1.04273,0.87291,0.76462,0.84007,0.45059,1.54931,0.89428,1.49871,0.000648713,0.000648713,0.000648713
81,918.705,0.90366,0.59442,1.03156,0.85175,0.76034,0.83536,0.46206,1.54047,0.91842,1.49324,0.00064719,0.00064719,0.00064719
82,930.225,0.88945,0.60457,1.0291,0.85098,0.78289,0.84016,0.44275,1.57522,0.93832,1.5352,0.000645668,0.000645668,0.000645668
83,941.112,0.89482,0.60817,1.03575,0.87079,0.77287,0.84017,0.44484,1.587,0.93387,1.54684,0.000644145,0.000644145,0.000644145
84,952.001,0.88628,0.59896,1.02987,0.85773,0.74076,0.82558,0.44403,1.56793,0.92947,1.51922,0.000642623,0.000642623,0.000642623
85,962.961,0.90191,0.61713,1.03133,0.8222,0.78229,0.82682,0.44727,1.58485,0.95217,1.52182,0.0006411,0.0006411,0.0006411
86,973.957,0.90613,0.60658,1.04137,0.82684,0.77801,0.82963,0.44759,1.58465,0.92639,1.52842,0.000639577,0.000639577,0.000639577
87,984.938,0.88863,0.59645,1.02641,0.83999,0.7734,0.81722,0.43367,1.59261,0.91235,1.56951,0.000638055,0.000638055,0.000638055
88,995.856,0.87841,0.57907,1.01902,0.86769,0.79671,0.83834,0.4584,1.54233,0.88616,1.52197,0.000636532,0.000636532,0.000636532
89,1006.79,0.88092,0.58758,1.02571,0.84508,0.78457,0.82868,0.43546,1.57858,0.91259,1.55212,0.000635009,0.000635009,0.000635009
90,1017.84,0.87534,0.58788,1.02269,0.87876,0.78273,0.8423,0.45886,1.55161,0.87927,1.52901,0.000633487,0.000633487,0.000633487
91,1028.74,0.87325,0.57502,1.01555,0.83771,0.77076,0.82135,0.44441,1.56769,0.89319,1.56303,0.000631964,0.000631964,0.000631964
92,1039.89,0.85326,0.55902,1.00514,0.90096,0.73035,0.83179,0.45379,1.56901,0.92704,1.5164,0.000630442,0.000630442,0.000630442
93,1050.93,0.87004,0.5752,1.01387,0.86123,0.78674,0.84194,0.45514,1.57022,0.89606,1.55616,0.000628919,0.000628919,0.000628919
94,1061.88,0.87199,0.57819,1.02278,0.88987,0.76875,0.84406,0.45989,1.5705,0.89302,1.54771,0.000627396,0.000627396,0.000627396
95,1072.88,0.85864,0.56887,1.01411,0.86551,0.77719,0.8433,0.46322,1.56496,0.9241,1.52932,0.000625874,0.000625874,0.000625874
96,1083.8,0.87067,0.5743,1.02533,0.81523,0.77263,0.80769,0.43891,1.59536,0.94266,1.58526,0.000624351,0.000624351,0.000624351
97,1094.78,0.86112,0.56398,1.01592,0.85186,0.81434,0.83169,0.44572,1.61247,0.87771,1.63591,0.000622828,0.000622828,0.000622828
98,1105.73,0.87312,0.59103,1.01675,0.8359,0.78204,0.83598,0.44802,1.56762,0.91365,1.55496,0.000621306,0.000621306,0.000621306
99,1116.65,0.8662,0.56704,1.02273,0.86189,0.78575,0.83952,0.45545,1.53792,0.92333,1.49269,0.000619783,0.000619783,0.000619783
100,1127.6,0.86751,0.5721,1.01823,0.8451,0.79047,0.84146,0.45565,1.56693,0.91145,1.56227,0.000618261,0.000618261,0.000618261
101,1138.63,0.8618,0.55589,1.01216,0.82334,0.7998,0.83464,0.44026,1.58574,0.92893,1.55473,0.000616738,0.000616738,0.000616738
102,1149.61,0.8362,0.54808,1.0041,0.84439,0.80668,0.83522,0.45114,1.56345,0.89338,1.57877,0.000615215,0.000615215,0.000615215
103,1160.52,0.83892,0.5412,1.01117,0.86662,0.78453,0.84316,0.46203,1.54825,0.87106,1.52168,0.000613693,0.000613693,0.000613693
104,1171.51,0.85376,0.55488,1.00365,0.84948,0.79244,0.83003,0.44825,1.55589,0.86042,1.56419,0.00061217,0.00061217,0.00061217
105,1182.44,0.83684,0.54553,1.00378,0.85126,0.80161,0.83348,0.45089,1.5686,0.90875,1.54051,0.000610648,0.000610648,0.000610648
106,1193.38,0.86931,0.55769,1.01422,0.86756,0.80053,0.85442,0.4608,1.55797,0.86277,1.55101,0.000609125,0.000609125,0.000609125
107,1204.54,0.84759,0.55063,1.00258,0.84707,0.79308,0.84934,0.46569,1.54706,0.88229,1.503,0.000607602,0.000607602,0.000607602
108,1215.88,0.83592,0.54323,1.00489,0.86788,0.79182,0.84631,0.45862,1.55875,0.89634,1.51615,0.00060608,0.00060608,0.00060608
109,1227.99,0.83028,0.54261,1.00561,0.85212,0.78823,0.8408,0.45318,1.55927,0.89325,1.53658,0.000604557,0.000604557,0.000604557
110,1239.67,0.83803,0.54974,1.01267,0.89118,0.787,0.8572,0.45662,1.5585,0.92925,1.52825,0.000603034,0.000603034,0.000603034
111,1251.16,0.83393,0.54365,0.99929,0.87485,0.76717,0.84438,0.46074,1.53503,0.88215,1.51532,0.000601512,0.000601512,0.000601512
112,1262.6,0.84249,0.55404,1.0085,0.86756,0.80678,0.85262,0.46831,1.51535,0.85603,1.49339,0.000599989,0.000599989,0.000599989
113,1274.18,0.83154,0.54155,1.00002,0.88877,0.79668,0.84835,0.47702,1.52767,0.88589,1.51136,0.000598467,0.000598467,0.000598467
114,1285.62,0.83853,0.54575,1.00047,0.85125,0.76798,0.82981,0.45669,1.54535,0.87165,1.49123,0.000596944,0.000596944,0.000596944
115,1297.47,0.83472,0.5435,1.0028,0.83885,0.79064,0.8324,0.45382,1.55407,0.87713,1.54926,0.000595421,0.000595421,0.000595421
116,1308.84,0.81839,0.53041,0.99429,0.88173,0.80001,0.85069,0.4626,1.56578,0.85343,1.55214,0.000593899,0.000593899,0.000593899
117,1320.02,0.84775,0.55319,1.00434,0.84952,0.80824,0.84614,0.46167,1.56489,0.85496,1.56255,0.000592376,0.000592376,0.000592376
118,1331.32,0.82976,0.53904,1.00403,0.85615,0.77549,0.83698,0.45647,1.56728,0.91514,1.53059,0.000590853,0.000590853,0.000590853
119,1342.8,0.81935,0.5215,0.9908,0.84356,0.79677,0.8282,0.44554,1.57054,0.91216,1.55169,0.000589331,0.000589331,0.000589331
120,1354.43,0.81228,0.51947,0.98425,0.86915,0.81974,0.84838,0.47065,1.53341,0.82956,1.52283,0.000587808,0.000587808,0.000587808
121,1366.01,0.809,0.52401,0.98467,0.85719,0.80313,0.84208,0.47123,1.5208,0.88955,1.50967,0.000586286,0.000586286,0.000586286
122,1377.58,0.82178,0.53895,1.00102,0.86447,0.79424,0.83668,0.45899,1.55894,0.90653,1.54621,0.000584763,0.000584763,0.000584763
123,1389.06,0.82598,0.5326,0.99758,0.85223,0.80058,0.82835,0.45246,1.57559,0.92902,1.5594,0.00058324,0.00058324,0.00058324
124,1400.52,0.82444,0.53242,0.99974,0.83167,0.80395,0.84136,0.46154,1.5468,0.90624,1.4984,0.000581718,0.000581718,0.000581718
125,1412.1,0.8126,0.5275,0.99076,0.87679,0.81006,0.85204,0.47466,1.53697,0.83868,1.54908,0.000580195,0.000580195,0.000580195
126,1423.49,0.80317,0.51982,0.98809,0.85549,0.78888,0.83065,0.44503,1.55933,0.8939,1.56826,0.000578672,0.000578672,0.000578672
127,1434.71,0.80937,0.52926,0.98898,0.87622,0.79529,0.8411,0.45105,1.56723,0.86284,1.56062,0.00057715,0.00057715,0.00057715
128,1446.13,0.80857,0.51771,0.99378,0.85,0.78739,0.82398,0.44046,1.5818,0.92104,1.59144,0.000575627,0.000575627,0.000575627
129,1457.44,0.80604,0.51246,0.9923,0.84481,0.76728,0.82299,0.44292,1.59422,0.9309,1.5867,0.000574105,0.000574105,0.000574105
130,1468.68,0.81812,0.52602,0.99615,0.84074,0.79137,0.83099,0.4635,1.51728,0.88975,1.50844,0.000572582,0.000572582,0.000572582
131,1480.49,0.79293,0.50623,0.98581,0.8719,0.77202,0.83261,0.45565,1.57419,0.8952,1.5539,0.000571059,0.000571059,0.000571059
132,1492.15,0.79851,0.50544,0.9849,0.88984,0.75525,0.83965,0.45346,1.55644,0.86397,1.54692,0.000569537,0.000569537,0.000569537
133,1503.32,0.79049,0.50232,0.98794,0.8407,0.80869,0.84986,0.45694,1.56359,0.88629,1.54297,0.000568014,0.000568014,0.000568014
134,1514.47,0.79062,0.49967,0.97681,0.87846,0.78255,0.8351,0.45589,1.56936,0.87776,1.54577,0.000566492,0.000566492,0.000566492
135,1525.92,0.80648,0.52269,0.99138,0.87462,0.74854,0.82089,0.45143,1.57353,0.9279,1.55614,0.000564969,0.000564969,0.000564969
136,1537.68,0.7987,0.51085,0.9836,0.8821,0.7551,0.8238,0.45994,1.55942,0.94152,1.54417,0.000563446,0.000563446,0.000563446
137,1548.95,0.78638,0.51687,0.98321,0.86695,0.80007,0.83783,0.45199,1.56709,0.86459,1.53381,0.000561924,0.000561924,0.000561924
138,1560.44,0.78819,0.49391,0.97893,0.83845,0.82144,0.85315,0.45288,1.57908,0.8853,1.52996,0.000560401,0.000560401,0.000560401
139,1571.63,0.78871,0.50652,0.98068,0.84882,0.80516,0.83096,0.45563,1.55113,0.89897,1.51925,0.000558878,0.000558878,0.000558878
140,1582.78,0.77603,0.50257,0.98657,0.83963,0.81574,0.8386,0.46064,1.56602,0.83567,1.56544,0.000557356,0.000557356,0.000557356
141,1594.34,0.7795,0.50341,0.98137,0.82923,0.79027,0.83145,0.45245,1.55844,0.9244,1.54265,0.000555833,0.000555833,0.000555833
142,1605.69,0.79119,0.49965,0.98101,0.86161,0.79265,0.8405,0.4633,1.56173,0.86922,1.56485,0.000554311,0.000554311,0.000554311
143,1617.27,0.79515,0.50248,0.97954,0.86942,0.79719,0.84829,0.46204,1.56506,0.82497,1.54408,0.000552788,0.000552788,0.000552788
